Count,Name,Sex,Age,Height,Weight,Team,Games,Season,Event,Medal,BMI
1,Juhamatti Tapio Aaltonen,M,28,184,85,Finland,2014 Winter,Winter,Ice Hockey Men's Ice Hockey,Bronze,25
2,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948 Summer,Summer,Gymnastics Men's Individual All-Around,Bronze,21
3,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948 Summer,Summer,Gymnastics Men's Team All-Around,Gold,21
4,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948 Summer,Summer,Gymnastics Men's Horse Vault,Gold,21
5,Paavo Johannes Aaltonen,M,28,175,64,Finland,1948 Summer,Summer,Gymnastics Men's Pommelled Horse,Gold,21
6,Paavo Johannes Aaltonen,M,32,175,64,Finland,1952 Summer,Summer,Gymnastics Men's Team All-Around,Bronze,21
7,Kjetil Andr Aamodt,M,20,176,85,Norway,1992 Winter,Winter,Alpine Skiing Men's Super G,Gold,27
8,Kjetil Andr Aamodt,M,20,176,85,Norway,1992 Winter,Winter,Alpine Skiing Men's Giant Slalom,Bronze,27
9,Kjetil Andr Aamodt,M,22,176,85,Norway,1994 Winter,Winter,Alpine Skiing Men's Downhill,Silver,27
10,Kjetil Andr Aamodt,M,22,176,85,Norway,1994 Winter,Winter,Alpine Skiing Men's Super G,Bronze,27
11,Kjetil Andr Aamodt,M,22,176,85,Norway,1994 Winter,Winter,Alpine Skiing Men's Combined,Silver,27
12,Kjetil Andr Aamodt,M,30,176,85,Norway,2002 Winter,Winter,Alpine Skiing Men's Super G,Gold,27
13,Kjetil Andr Aamodt,M,30,176,85,Norway,2002 Winter,Winter,Alpine Skiing Men's Combined,Gold,27
14,Kjetil Andr Aamodt,M,34,176,85,Norway,2006 Winter,Winter,Alpine Skiing Men's Super G,Gold,27
15,Pepijn Aardewijn,M,26,189,72,Netherlands,1996 Summer,Summer,Rowing Men's Lightweight Double Sculls,Silver,20
16,Ann Kristin Aarnes,F,23,182,64,Norway,1996 Summer,Summer,Football Women's Football,Bronze,19
17,Giovanni Abagnale,M,21,198,90,Italy,2016 Summer,Summer,Rowing Men's Coxless Pairs,Bronze,23
18,Jos Luis Abajo Gmez,M,30,194,87,Spain,2008 Summer,Summer,"Fencing Men's epee, Individual",Bronze,23
19,Patimat Abakarova,F,21,165,49,Azerbaijan,2016 Summer,Summer,Taekwondo Women's Flyweight,Bronze,18
20,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Russia,2008 Summer,Summer,Athletics Women's Javelin Throw,Silver,25
21,Aleksey Aleksandrovich Abalmasov,M,28,180,83,Belarus,2008 Summer,Summer,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,26
22,Luc Abalo,M,23,182,86,France,2008 Summer,Summer,Handball Men's Handball,Gold,26
23,Luc Abalo,M,27,182,86,France,2012 Summer,Summer,Handball Men's Handball,Gold,26
24,Luc Abalo,M,31,182,86,France,2016 Summer,Summer,Handball Men's Handball,Silver,26
25,Jouan Patrice Abanda Etong,M,22,185,82,Cameroon,2000 Summer,Summer,Football Men's Football,Gold,24
26,Jos Mara Abarca Plotas,M,22,186,83,Spain,1996 Summer,Summer,Water Polo Men's Water Polo,Gold,24
27,Stephen Anthony Abas,M,26,165,55,United States,2004 Summer,Summer,"Wrestling Men's Featherweight, Freestyle",Silver,20
28,Alejandro Abascal Garca,M,28,181,82,Spain,1980 Summer,Summer,Sailing Mixed Two Person Heavyweight Dinghy,Gold,25
29,Jos Manuel Abascal Gmez,M,26,182,67,Spain,1984 Summer,Summer,"Athletics Men's 1,500 metres",Bronze,20
30,Tamila Rashidovna Abasova,F,21,163,60,Russia,2004 Summer,Summer,Cycling Women's Sprint,Silver,23
31,Jol Marc Abati,M,38,190,85,France,2008 Summer,Summer,Handball Men's Handball,Gold,24
32,Pter Abay,M,30,181,79,Hungary,1992 Summer,Summer,"Fencing Men's Sabre, Team",Silver,24
33,Agostino Abbagnale,M,22,188,96,Italy,1988 Summer,Summer,Rowing Men's Quadruple Sculls,Gold,27
34,Agostino Abbagnale,M,29,188,96,Italy,1996 Summer,Summer,Rowing Men's Double Sculls,Gold,27
35,Agostino Abbagnale,M,34,188,96,Italy,2000 Summer,Summer,Rowing Men's Quadruple Sculls,Gold,27
36,Carmine Abbagnale,M,22,182,90,Italy,1984 Summer,Summer,Rowing Men's Coxed Pairs,Gold,27
37,Carmine Abbagnale,M,26,182,90,Italy,1988 Summer,Summer,Rowing Men's Coxed Pairs,Gold,27
38,Carmine Abbagnale,M,30,182,90,Italy,1992 Summer,Summer,Rowing Men's Coxed Pairs,Silver,27
39,Giuseppe Abbagnale,M,25,187,97,Italy,1984 Summer,Summer,Rowing Men's Coxed Pairs,Gold,28
40,Giuseppe Abbagnale,M,29,187,97,Italy,1988 Summer,Summer,Rowing Men's Coxed Pairs,Gold,28
41,Giuseppe Abbagnale,M,33,187,97,Italy,1992 Summer,Summer,Rowing Men's Coxed Pairs,Silver,28
42,"Desmond ""Des"" Abbott",M,21,184,87,Australia,2008 Summer,Summer,Hockey Men's Hockey,Bronze,26
43,Jeremy Abbott,M,28,175,70,United States,2014 Winter,Winter,Figure Skating Mixed Team,Bronze,23
44,Monica Cecilia Abbott,F,23,191,88,United States,2008 Summer,Summer,Softball Women's Softball,Silver,24
45,Nia Nicole Abdallah,F,20,175,56,United States,2004 Summer,Summer,Taekwondo Women's Featherweight,Silver,18
46,Saeid Morad Abdevali,M,26,170,80,Iran,2016 Summer,Summer,"Wrestling Men's Middleweight, Greco-Roman",Bronze,28
47,Reema Abdo,F,21,173,59,Canada,1984 Summer,Summer,Swimming Women's 4 x 100 metres Medley Relay,Bronze,20
48,Lala Abdul Rashid,M,38,169,91,Pakistan,1960 Summer,Summer,Hockey Men's Hockey,Gold,32
49,Muhammad Abdul Rashid,M,23,181,72,Pakistan,1964 Summer,Summer,Hockey Men's Hockey,Silver,22
50,Zagalav Abdulbekovich Abdulbekov,M,26,160,62,Soviet Union,1972 Summer,Summer,"Wrestling Men's Featherweight, Freestyle",Gold,24
51,Mukhammad Kadyr Abdullayev,M,26,169,63,Uzbekistan,2000 Summer,Summer,Boxing Men's Light-Welterweight,Gold,22
52,Namiq Yadulla Abdullayev,M,25,167,55,Azerbaijan,1996 Summer,Summer,"Wrestling Men's Flyweight, Freestyle",Silver,20
53,Namiq Yadulla Abdullayev,M,29,167,55,Azerbaijan,2000 Summer,Summer,"Wrestling Men's Bantamweight, Freestyle",Gold,20
